timestamp,driver_id,velocidade_registrada,limite_permitido,tipo_local,latitude,longitude,excesso_kmh
2026-09-01 21:44:51.979647,driver_01,46,40,Zona de risco (Hospital das Clínicas),-23.557871,-46.649173,6
2026-09-01 21:44:53.981643,driver_02,41,40,Zona de risco (Escola Estadual Central),-23.546758,-46.637335,1
2026-09-01 21:44:57.984603,driver_01,77,60,Via comum,-23.552316,-46.642521,17
2026-09-01 21:45:07.991316,driver_01,80,60,Via comum,-23.548378,-46.630053,20
2026-09-01 21:45:13.995394,driver_01,78,60,Via comum,-23.557266,-46.644239,18
2026-09-01 21:45:26.004058,driver_03,62,60,Via comum,-23.543743,-46.631836,2
2026-09-01 21:45:28.005022,driver_02,72,60,Via comum,-23.540269,-46.659262,12
2026-09-01 21:45:30.006456,driver_01,77,60,Via comum,-23.555848,-46.644653,17
2026-09-01 21:45:46.018400,driver_01,77,60,Via comum,-23.543436,-46.656163,17
2026-09-01 21:45:48.036685,driver_01,79,60,Via comum,-23.545772,-46.647627,19
2026-09-01 21:46:08.051994,driver_02,61,60,Via comum,-23.543987,-46.655316,1
2026-09-01 21:46:10.053650,driver_02,69,60,Via comum,-23.547416,-46.633772,9
2026-09-01 21:46:24.063959,driver_03,53,40,Zona de risco (Escola Estadual Central),-23.543055,-46.63729,13
2026-09-01 21:46:26.065689,driver_03,54,40,Zona de risco (Escola Estadual Central),-23.5462,-46.641157,14
2026-09-01 21:46:34.080030,driver_03,61,60,Via comum,-23.553702,-46.64281,1
2026-09-01 21:46:44.087226,driver_02,74,60,Via comum,-23.555862,-46.659023,14
2026-09-01 21:46:46.088515,driver_01,78,60,Via comum,-23.554546,-46.645247,18
2026-09-01 21:46:48.090477,driver_02,65,60,Via comum,-23.54209,-46.630608,5
2026-09-01 21:47:10.110066,driver_02,63,60,Via comum,-23.558875,-46.654782,3
2026-09-01 21:47:22.120522,driver_03,63,60,Via comum,-23.548557,-46.63333,3
2026-09-01 21:47:28.126741,driver_02,72,60,Via comum,-23.551254,-46.656148,12
2026-09-01 21:47:30.128416,driver_02,78,60,Via comum,-23.5559,-46.657501,18
2026-09-01 21:47:36.136054,driver_03,63,60,Via comum,-23.545057,-46.657601,3
2026-09-01 21:47:40.138623,driver_02,41,40,Zona de risco (Hospital das Clínicas),-23.557812,-46.65183,1
2026-09-01 21:47:44.141524,driver_02,74,60,Via comum,-23.54299,-46.648653,14
2026-09-01 21:47:58.178221,driver_02,63,40,Zona de risco (Hospital das Clínicas),-23.552921,-46.652317,23
2026-09-01 21:48:02.181152,driver_03,64,60,Via comum,-23.540661,-46.655297,4
2026-09-01 21:48:06.183652,driver_03,69,60,Via comum,-23.551324,-46.637173,9
2026-09-01 21:48:16.189709,driver_01,62,60,Via comum,-23.547678,-46.645157,2
2026-09-01 21:48:22.193682,driver_01,74,40,Zona de risco (Hospital das Clínicas),-23.556564,-46.651481,34
2026-09-01 21:48:30.198902,driver_02,63,60,Via comum,-23.557537,-46.645586,3
2026-09-01 21:48:32.200122,driver_03,68,60,Via comum,-23.548872,-46.64378,8
2026-09-01 21:48:38.204081,driver_03,73,60,Via comum,-23.540363,-46.634582,13
2026-09-01 21:48:40.205044,driver_03,66,60,Via comum,-23.556804,-46.641142,6
2026-09-01 21:48:42.206308,driver_03,72,60,Via comum,-23.543263,-46.653665,12
2026-09-01 21:48:46.208819,driver_01,77,60,Via comum,-23.552997,-46.640408,17
2026-09-01 21:48:58.216471,driver_01,53,40,Zona de risco (Hospital das Clínicas),-23.552717,-46.648944,13
2026-09-01 21:49:10.225602,driver_01,43,40,Zona de risco (Hospital das Clínicas),-23.551247,-46.651726,3
2026-09-01 21:49:16.228735,driver_01,71,60,Via comum,-23.545672,-46.650585,11
